charge	min	max	10003.peak.table	10025.peak.table	10037.peak.table	10047.peak.table	10085.peak.table	10086.peak.table	10100.peak.table	10107.peak.table	10116.peak.table	10126.peak.table	10134.peak.table	10140_1.peak.table	10173.peak.table	10192.peak.table	10198.peak.table	10199.peak.table	10234.peak.table	10241.peak.table	10244.peak.table	10253.peak.table	10259.peak.table	10281.peak.table	10292.peak.table	10297.peak.table	10306.peak.table	10311.peak.table	10319.peak.table	10329.peak.table	10345.peak.table	10372.peak.table	10374.peak.table	11011.peak.table	11064.peak.table	11115.peak.table	11201.peak.table	11215.peak.table	11254.peak.table	12004.peak.table	13002.peak.table
pos	242.0	243.0	0	1	2	0	1	2	3	3	2	2	3	2	0	2	3	2	2	1	2	1	0	1	2	1	1	2	2	0	1	0	1	1	0	0	0	2	0	1	3
pos	243.0	244.0	0	0	0	0	0	2	2	0	0	2	0	3	0	1	0	0	0	4	0	0	2	1	0	1	0	4	1	0	1	3	0	1	2	1	1	0	2	1	3
pos	244.0	245.0	1	0	0	0	1	1	0	0	1	0	0	1	0	0	1	2	0	0	1	0	0	2	0	0	1	5	2	1	1	0	1	1	1	1	0	0	1	2	3
pos	245.0	246.0	3	1	4	4	3	4	1	3	1	1	2	4	0	1	3	1	3	2	5	1	2	3	0	2	0	2	0	0	2	0	5	4	5	6	4	5	5	2	2
pos	246.0	247.0	2	3	3	3	2	3	1	2	1	3	4	4	5	0	2	2	2	0	1	1	2	8	6	5	6	12	1	3	2	0	7	8	6	4	4	5	5	1	1
pos	247.0	248.0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	2	4	4	3	5	2	1	5	8	0	11	0	3	0	2
pos	248.0	249.0	2	1	0	1	0	1	2	2	1	1	1	1	0	0	1	2	1	1	0	0	0	1	1	0	0	6	2	0	2	0	2	1	2	2	2	0	4	0	2
pos	249.0	250.0	2	2	1	2	1	3	1	1	3	2	1	2	0	1	2	1	0	1	2	2	1	1	1	1	1	4	0	0	1	1	4	2	2	3	6	3	3	2	1
pos	250.0	251.0	0	0	3	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	2	1	0	0	1	0	0	2	0	0	0	1	0	0
pos	251.0	252.0	1	0	1	1	0	0	2	1	1	0	0	1	4	3	1	1	1	1	1	0	2	6	2	0	2	1	1	0	1	0	1	0	0	0	0	2	1	0	0
pos	252.0	253.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	1	2	3	2	0	1	0	1	0	0	0	0	0	0
pos	253.0	254.0	3	0	0	0	3	4	3	2	0	0	1	0	3	1	2	1	1	2	1	2	3	0	3	0	0	2	2	3	2	1	2	3	2	1	1	2	0	0	0
pos	254.0	255.0	0	1	1	0	2	1	1	0	0	1	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	2	1	1	1	1	0	0	3	0	0	1	0	1	3
pos	255.0	256.0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	4	1	2	2	0	1	4	1	3	3	2	1	3	0	3	0	1
pos	256.0	257.0	0	0	0	0	0	0	1	2	0	1	2	1	1	0	2	1	0	0	0	0	0	0	0	1	0	0	2	0	0	2	0	1	0	0	1	1	1	0	1
pos	257.0	258.0	1	1	2	1	0	0	3	2	0	2	2	3	1	0	0	0	2	1	0	0	0	5	3	2	3	5	0	1	4	0	5	0	3	3	1	2	3	1	2
pos	258.0	259.0	2	5	3	1	1	1	4	3	1	2	2	2	1	3	3	2	3	3	2	1	0	2	5	2	1	3	1	3	3	1	4	1	3	4	2	2	2	3	3
pos	259.0	260.0	2	0	2	1	2	2	5	6	1	6	8	2	3	2	7	3	2	1	2	3	0	1	1	1	1	1	5	1	1	2	5	1	2	3	2	3	2	3	1
