charge	min	max	10003.peak.table	10025.peak.table	10037.peak.table	10047.peak.table	10085.peak.table	10086.peak.table	10100.peak.table	10107.peak.table	10116.peak.table	10126.peak.table	10134.peak.table	10140_1.peak.table	10173.peak.table	10192.peak.table	10198.peak.table	10199.peak.table	10234.peak.table	10241.peak.table	10244.peak.table	10253.peak.table	10259.peak.table	10281.peak.table	10292.peak.table	10297.peak.table	10306.peak.table	10311.peak.table	10319.peak.table	10329.peak.table	10345.peak.table	10372.peak.table	10374.peak.table	11011.peak.table	11064.peak.table	11115.peak.table	11201.peak.table	11215.peak.table	11254.peak.table	12004.peak.table	13002.peak.table
pos	189.49999999999378	189.59999999999377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos	189.59999999999377	189.69999999999376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos	189.69999999999376	189.79999999999376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos	190.09999999999374	190.19999999999374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
pos	190.5999999999937	190.6999999999937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos	190.8999999999937	190.9999999999937	0	0	1	0	0	0	2	0	1	0	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	1
pos	190.9999999999937	191.09999999999368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
pos	191.09999999999368	191.19999999999368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
pos	191.59999999999366	191.69999999999365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos	191.99999999999363	192.09999999999363	1	0	0	1	2	2	1	0	0	2	2	1	1	0	0	0	0	2	2	1	2	1	1	1	1	1	0	0	1	2	1	1	2	1	1	0	1	1	1
pos	192.09999999999363	192.19999999999362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0
pos	192.6999999999936	192.7999999999936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos	192.89999999999358	192.99999999999358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
pos	192.99999999999358	193.09999999999357	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	4
pos	193.09999999999357	193.19999999999357	1	0	2	1	0	1	2	0	2	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	2	2	1	2	0	0	0	0	0	0	0	0	0	0
pos	193.99999999999352	194.0999999999935	2	0	0	2	0	2	0	0	0	0	0	1	0	0	0	0	0	3	0	1	1	0	0	0	0	1	0	0	0	1	1	0	2	1	0	0	2	0	2
pos	195.9999999999934	196.0999999999934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0
pos	196.0999999999934	196.1999999999934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
pos	196.79999999999336	196.89999999999336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
pos	196.99999999999335	197.09999999999334	1	0	0	1	1	1	1	0	0	1	1	2	1	0	0	0	0	1	1	1	1	2	1	1	1	1	0	0	2	1	1	1	1	2	1	2	1	0	1
