charge	min	max	sample1.peak.table	sample2.peak.table	sample.peak.table
pos	706.2671124070883	706.2674655406446	0	0	1
pos	708.2828442272435	708.2831983686656	0	0	1
pos	709.196763849562	709.1971184479439	0	0	1
pos	709.905960199668	709.9063151526482	0	0	1
pos	710.2634877613076	710.2638428930516	0	0	1
pos	710.6563719943521	710.6567273225381	0	0	1
pos	712.1991020520845	712.1994581516356	0	0	1
pos	712.653986271421	712.6543425984141	0	0	1
pos	716.6220025493628	716.6223608603642	0	0	1
pos	716.8452650186981	716.8456234413306	0	0	1
pos	718.618779500174	718.6191388095638	0	0	1
pos	723.195441777272	723.1958033749929	0	0	1
pos	725.2275774321137	725.2279400459024	0	0	1
pos	727.3017874369799	727.3021510878737	0	0	1
pos	730.8147470229039	730.8151124302775	0	0	1
pos	731.5342224780762	731.5345882451875	0	0	1
pos	735.812625857697	735.8129937640099	0	0	1
pos	741.2244641856589	741.224834797891	0	0	1
pos	745.2323125565249	745.2326851726813	0	0	1
pos	745.4395158875712	745.4398886073293	0	0	1
pos	747.0827818628153	747.0831554042063	0	0	2
pos	747.0853966564744	747.0857701991728	0	0	1
pos	747.5999419353939	747.6003157353649	1	0	0
pos	748.6375822327942	748.6379565515854	0	0	1
pos	748.6379565515854	748.6383308705637	0	0	1
pos	748.6383308705637	748.6387051897292	0	0	1
pos	750.1993693809009	750.1997444805857	0	0	1
pos	750.2001195804579	750.2004946805177	0	0	1
pos	750.9822353211746	750.9826108122923	0	0	1
pos	750.9833617950909	750.9837372867719	0	0	1
pos	750.9848637629412	750.9852392553731	0	0	1
pos	751.7704288243056	751.77080470952	0	0	1
pos	752.5549342340062	752.5553105114733	0	0	1
pos	753.1485576566051	753.148934230884	0	0	1
pos	753.1609847072243	753.1613612877168	0	0	1
pos	755.1757437906483	755.1761213785203	0	0	1
pos	759.323947033911	759.3243266958847	0	0	1
pos	761.4355196688405	761.4359003866003	0	0	1
pos	762.4393718576029	762.4397530772889	0	0	1
pos	762.6265736546993	762.6269549679862	0	0	1
pos	764.8941759752042	764.8945584222922	0	0	1
pos	768.5940916890396	768.5944759860855	0	0	1
pos	769.1246044856172	769.1249890479195	0	0	1
pos	774.2880710376562	774.2884581816918	0	0	1
pos	776.2929707063902	776.2933588528756	0	0	1
pos	778.2372979402018	778.2376870588507	0	0	1
pos	778.2746542177124	778.2750433550395	0	0	1
pos	783.2171484050763	783.2175400136505	0	0	1
pos	786.2878803083568	786.288273452297	0	0	1
pos	788.3041437894209	788.3045379414929	0	0	1
pos	789.3055311458904	789.3059257986561	0	0	1
pos	789.3138188954073	789.3142135523168	0	0	1
pos	789.318554791345	789.3189494506225	0	0	1
pos	789.3694674673243	789.3698621520581	0	0	1
pos	790.2836914025208	790.2840865443666	0	0	1
pos	794.6183866948993	794.6187840040927	0	0	1
pos	794.7133492422817	794.7137465989563	0	0	1
pos	796.6161801447093	796.6165784527994	0	0	1
pos	799.2841233250147	799.2845229670763	0	0	1
pos	800.5840155770413	800.5844158690492	0	0	1
pos	800.8078100272955	800.8082104312006	0	0	1
pos	804.2989107677163	804.2993129171717	0	0	1
pos	808.5479449170895	808.548349191062	0	0	1
pos	817.2940755127141	817.294484159752	0	0	1
pos	818.2795082314603	818.2799173712145	0	0	1
pos	830.2629615097176	830.2633766411984	0	0	1
pos	831.2498997866543	831.2503154116042	0	0	1
pos	831.3097519191344	831.3101675740105	0	0	1
pos	832.2405079598592	832.2409240801132	0	0	1
pos	832.2525755316991	832.252991657987	0	0	1
pos	832.2638110145009	832.2642271464065	0	0	1
pos	832.2792080335795	832.2796241731836	0	0	1
pos	832.2812887336805	832.281704874325	0	0	1
pos	832.2933568968459	832.2937730435244	0	0	1
pos	837.2024940710086	837.2029126722557	0	0	1
pos	839.1562888596668	839.1567084378113	0	0	1
pos	840.1357355771308	840.1361556449987	0	0	1
pos	841.1180077194574	841.1184282784614	0	0	1
pos	841.1184282784614	841.1188488376755	0	0	1
pos	842.3174549839715	842.3178761426991	0	0	1
pos	843.0906356981446	843.0910572434625	0	0	2
pos	843.0910572434625	843.0914787889911	0	0	1
pos	845.7378715536843	845.7382944226201	0	0	1
pos	846.0660814344403	846.0665044674811	0	0	1
pos	846.0686196358578	846.0690426701676	0	0	1
pos	846.069465704689	846.0698887394219	0	0	1
pos	846.3097834964162	846.310206651308	0	0	1
pos	847.0603695800714	847.0607931102563	1	0	0
pos	847.0675696220139	847.0679931557988	0	0	1
pos	854.8106346194394	854.8110620247568	0	0	1
pos	856.3686625496817	856.3690907340131	0	0	1
pos	857.2897536295305	857.2901822744074	0	0	1
pos	859.3540162520604	859.3544459290687	0	0	1
pos	861.2949069292728	861.2953375767263	0	0	1
pos	871.3053240221599	871.305759674822	0	0	1
pos	873.3544254437063	873.354862120919	0	0	1
pos	873.3697092760658	873.3701459609205	0	0	1
pos	876.2609706204074	876.2614087508928	0	0	1
pos	878.5791124425093	878.5795517320656	0	0	1
pos	878.6762007742075	878.676640112308	0	0	1
pos	880.5792741664103	880.5797144560474	0	0	1
pos	883.2589827069223	883.2594243364138	0	0	1
pos	883.7603743107416	883.7608161909287	0	0	1
pos	884.3000746111625	884.3005167611998	0	0	1
pos	884.5455018720047	884.5459441447557	0	0	1
pos	884.7679929872193	884.7684353712158	0	0	1
pos	886.5432886812636	886.5437319529079	0	0	1
pos	889.3154011518312	889.3158458095319	0	0	1
pos	891.3052433966204	891.3056890492422	0	0	1
pos	905.2932732939049	905.2937259405417	0	0	1
pos	907.3896396242732	907.390093319093	0	0	1
pos	908.3428988812254	908.343353052675	0	0	1
pos	911.2925245821466	911.292980228409	0	0	1
pos	913.8431493887588	913.8436063103335	0	0	1
pos	919.2369707273901	919.2374303458756	0	0	1
pos	920.8663814127119	920.8668418459027	0	0	1
pos	935.5470532454666	935.5475210189933	0	0	1
pos	945.2693745385591	945.2698471732464	0	0	1
pos	955.2665740561691	955.2670516894563	0	0	1
pos	955.277082043652	955.277559682193	0	0	1
pos	957.1105826973178	957.1110612526093	0	0	1
pos	957.1148897035546	957.1153682609995	0	0	1
pos	957.1153682609995	957.1158468186837	0	0	1
pos	957.1220680903526	957.1225466513868	0	0	1
pos	959.6675625874778	959.6680424212592	0	0	1
pos	959.6690020895417	959.6694819240428	0	0	1
pos	959.6694819240428	959.6699617587838	0	0	2
pos	960.9514959160224	960.9519763917705	0	0	1
pos	962.2352225391817	962.235703656793	1	0	0
pos	962.235703656793	962.2361847746449	0	0	1
pos	962.2366658927374	962.2371470110704	0	0	1
pos	962.2371470110704	962.237628129644	0	0	1
pos	963.5259634583142	963.5264452212961	0	0	1
pos	963.5264452212961	963.5269269845187	0	0	1
pos	964.5377145276744	964.5381967965318	0	0	1
pos	964.8179533664445	964.8184357754212	0	0	1
pos	964.8184357754212	964.8189181846392	0	0	1
pos	964.8194005940984	964.8198830037987	0	0	1
pos	966.1140909826926	966.1145740397382	0	0	1
pos	966.116023212324	966.1165062703357	0	0	1
pos	966.1169893285888	966.1174723870836	0	0	1
pos	967.4110024205507	967.4114861260521	1	0	0
pos	967.4139046571862	967.4143883641386	0	0	1
pos	967.4187417375936	967.4192254469644	0	0	1
pos	994.3466881173509	994.347185290695	0	0	1
pos	1006.2370143731976	1006.2375174917048	0	0	1
pos	1016.796645780719	1016.797154179042	0	0	1
pos	1017.2975413390185	1017.2980499877892	0	0	1
pos	1027.3576724598006	1027.358186138637	0	0	1
pos	1030.2115183843846	1030.2120334901438	0	0	1
pos	1033.3429591178717	1033.3434757893513	0	0	1
pos	1036.298922386604	1036.2994405360653	0	0	1
pos	1037.3497434955364	1037.350262170408	0	0	1
pos	1044.3828485412225	1044.3833707326469	0	0	1
pos	1052.4708955122917	1052.4714217477394	0	0	1
pos	1054.3169674434728	1054.3174946019565	0	0	1
pos	1054.817359428108	1054.8178868367877	0	0	1
pos	1065.314041605789	1065.3145742628099	0	0	1
pos	1067.3464659463762	1067.3469996196093	0	0	1
pos	1091.4604091482604	1091.4609548784651	0	0	1
pos	1105.0417546764827	1105.04230719736	0	0	1
pos	1107.324915699293	1107.3254693617507	0	0	1
pos	1116.4043495667809	1116.4049077689558	0	0	1
pos	1118.8569884728406	1118.857547901335	0	0	1
pos	1120.6004052660467	1120.6009655662494	0	0	1
pos	1120.6026464685385	1120.6032067698618	0	0	1
pos	1120.6043273733487	1120.6048876755126	0	0	1
pos	1122.348783367623	1122.3493445420147	0	0	1
pos	1122.3493445420147	1122.349905716687	0	0	2
pos	1124.1026995683094	1124.1032616196592	0	0	1
pos	1124.1032616196592	1124.10382367129	0	0	2
