min	10003.peak.table	10025.peak.table	10037.peak.table	10047.peak.table	10085.peak.table	10086.peak.table	10100.peak.table	10107.peak.table	10116.peak.table	10126.peak.table	10134.peak.table	10140_1.peak.table	10173.peak.table	10192.peak.table	10198.peak.table	10199.peak.table	10234.peak.table	10241.peak.table	10244.peak.table	10253.peak.table	10259.peak.table	10281.peak.table	10292.peak.table	10297.peak.table	10306.peak.table	10311.peak.table	10319.peak.table	10329.peak.table	10345.peak.table	10372.peak.table	10374.peak.table	11011.peak.table	11064.peak.table	11115.peak.table	11201.peak.table	11215.peak.table	11254.peak.table	12004.peak.table	13002.peak.table
1040.0	1	18	0	0	2	0	2	2	0	0	0	2	0	0	1	0	0	0	1	0	2	0	4	1	1	1	2	11	5	2	1	1	1	0	0	2	0	2	7
1041.0	1	9	1	1	1	0	1	1	3	0	0	0	0	1	2	1	1	1	1	0	0	1	2	6	1	7	0	6	6	4	0	1	0	1	0	0	0	2	5
1042.0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	2	4	8	5	8	9	4	3	2	0	4	0	1	4	0	2	6
1043.0	2	3	3	3	3	3	0	1	1	0	2	2	4	2	0	3	1	3	1	3	1	1	2	5	4	1	4	7	5	0	0	0	1	0	2	3	0	2	0
1044.0	3	2	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	0	0	0	4	2	0	2	4	5	1	2	0	0	0	1	0	2	0	4	2
1045.0	6	5	4	5	6	2	3	2	4	1	2	1	3	2	3	0	2	2	4	2	5	4	1	5	0	1	8	7	5	1	1	2	4	2	1	8	0	1	4
1046.0	0	1	0	1	2	0	3	2	0	1	0	0	1	4	6	0	0	1	2	0	0	2	2	3	2	3	1	6	2	2	0	0	1	0	2	4	0	2	2
1047.0	1	2	3	1	3	3	0	1	0	2	2	3	3	3	12	2	3	3	2	1	0	5	1	4	3	2	2	3	6	0	0	0	2	1	1	3	0	3	8
1048.0	3	1	3	1	1	0	1	2	0	0	0	2	3	1	11	0	1	0	1	0	0	1	0	4	1	0	5	5	5	2	1	0	1	0	2	6	0	3	7
1049.0	5	7	2	2	8	7	3	2	1	1	3	4	3	1	4	4	1	2	1	2	2	1	0	1	3	3	6	8	5	1	2	3	3	4	2	7	5	4	8
1050.0	1	3	2	0	4	1	0	1	2	1	0	4	0	1	5	1	3	1	3	0	2	1	1	3	0	3	5	10	6	1	2	0	1	0	1	5	0	0	13
